paper_id,year,title,venue,doi,author_position,corresponding_status,credit_role,style_tier,style_confidence,style_weight,is_ieee,is_ieee_transactions,pages,sha256,source_filename_hint,fulltext_status,source_route,abstract_words,abstract_sentences,abstract_mean_sentence_words,abstract_max_sentence_words,section_sequence,heading_features,abstract_moves,method_tags,evidence_tags,paper_card
2018-effectiveness-analysis-mixed-rumor-quelling-strategy,2018,Effectiveness analysis of a mixed rumor-quelling strategy,Journal of the Franklin Institute,10.1016/j.jfranklin.2018.07.040,1,no_or_not_identified,unknown,A_core_voice,high,1.500,no,no,27,db3883b68e1c0bcd0a66e83e2e2210eeb0b558e5da3f5d6405c3fd9764648ec2,1-s2.0-S0016003218305180-main (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,190,11,17.3,32,introduction > theory > conclusion,,context_stakes > model_framework > theory_conditions > evaluation > result_claim > implication,,,corpus/attachment_paper_cards/2018-effectiveness-analysis-mixed-rumor-quelling-strategy.md
2018-competition-two-conflicting-messages,2018,On the competition of two conflicting messages,Nonlinear Dynamics,10.1007/s11071-017-3986-z,1,no_or_not_identified,unknown,A_core_voice,high,1.500,no,no,17,d487f9f2f48b1a96df79396e0aa1c66a514060e7e361191a20f689a43f44e88e,s11071-017-3986-z (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,102,6,17.0,30,introduction > theory > conclusion > model,,context_stakes > model_framework > theory_conditions > result_claim,epidemic_or_spreading_model,simulation;sensitivity,corpus/attachment_paper_cards/2018-competition-two-conflicting-messages.md
2019-discount-strategy-word-mouth-marketing,2019,A discount strategy in word-of-mouth marketing,Communications in Nonlinear Science and Numerical Simulation,10.1016/j.cnsns.2019.03.015,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.517,no,no,13,e11d22bf88dd753d9277060dee10e57a0383e9d6601232e8d73dc841a348e649,1-s2.0-S1007570419300838-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,124,6,20.7,36,introduction > model > theory > conclusion,,context_stakes > model_framework > evaluation > implication,,numerical_experiments,corpus/attachment_paper_cards/2019-discount-strategy-word-mouth-marketing.md
2019-effective-repair-strategy-advanced-persistent-threat-differential-game,2019,Effective Repair Strategy Against Advanced Persistent Threat: A Differential Game Approach,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2018.2885251,1,no_or_not_identified,unknown,A_core_voice,high,1.984,yes,yes,16,57d498fca25474d5a88313bec9c085babfa20005864d89367ec971bf3881b28c,Effective_Repair_Strategy_Against_Advanced_Persistent_Threat_A_Differential_Game_Approach (2).pdf,attachment_fulltext_analyzed,owner_provided_attachment,251,11,22.8,38,introduction > related_work > problem_formulation > method_algorithm > experiments > conclusion,contributions;paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > result_claim > implication,differential_game;game_theory;stability_threshold,,corpus/attachment_paper_cards/2019-effective-repair-strategy-advanced-persistent-threat-differential-game.md
2019-minimizing-impact-rumor-isolation-conversion,2019,Minimizing the impact of a rumor via isolation and conversion,Physica A,10.1016/j.physa.2019.04.103,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.517,no,no,11,acbfab126b0775aa156f2c547b694915e5d41e5ed519d597f5f7c2049b2c1288,1-s2.0-S0378437119304765-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,139,9,15.4,23,introduction > related_work > problem_formulation > model > method_algorithm > theory > conclusion,related_work,context_stakes > model_framework > decision_problem > theory_conditions > result_claim > implication,epidemic_or_spreading_model;optimal_control,,corpus/attachment_paper_cards/2019-minimizing-impact-rumor-isolation-conversion.md
2019-understanding-effectiveness-patch-injection,2019,Towards understanding the effectiveness of patch injection,Physica A,10.1016/j.physa.2019.04.192,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.517,no,no,8,52d3fe565db7e9adf68c169328b1ce76e219dca8d972ca78f5bf4a753e171bab,1-s2.0-S0378437119305527-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,159,10,15.9,25,introduction > theory > discussion_limits > conclusion,,context_stakes > gap_limitation > model_framework > theory_conditions > evaluation > result_claim > implication,stability_threshold,sensitivity,corpus/attachment_paper_cards/2019-understanding-effectiveness-patch-injection.md
2020-risk-management-approach-defending-advanced-persistent-threat,2020,A Risk Management Approach to Defending Against the Advanced Persistent Threat,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2018.2858786,1,no_or_not_identified,unknown,A_core_voice,high,1.984,yes,yes,10,3ce4647f67243b92b47244c4240de8149b9e1fa85418be84a43bad685bc95b6e,A_Risk_Management_Approach_to_Defending_Against_the_Advanced_Persistent_Threat (4).pdf,attachment_fulltext_analyzed,owner_provided_attachment,205,12,17.1,36,introduction > method_algorithm > conclusion,related_work,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,game_theory;stability_threshold,comparative_experiments,corpus/attachment_paper_cards/2020-risk-management-approach-defending-advanced-persistent-threat.md
2020-simultaneous-benefit-maximization-conflicting-opinions-modeling-analysis,2020,Simultaneous Benefit Maximization of Conflicting Opinions: Modeling and Analysis,IEEE Systems Journal,10.1109/JSYST.2020.2964004,1,no_or_not_identified,unknown,A_core_voice,high,1.725,yes,no,12,94f2f0a25888da98b393abb851ef1b80afc8d48231f5ae1fb967c5197a145350,Simultaneous_Benefit_Maximization_of_Conflicting_Opinions_Modeling_and_Analysis (2).pdf,attachment_fulltext_analyzed,owner_provided_attachment,161,8,20.1,32,introduction > problem_formulation > related_work > theory > experiments > method_algorithm > conclusion,problem_statement;contributions;paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > result_claim > implication,epidemic_or_spreading_model;differential_game;game_theory;stability_threshold,,corpus/attachment_paper_cards/2020-simultaneous-benefit-maximization-conflicting-opinions-modeling-analysis.md
2021-defense-advanced-persistent-threat-data-backup-recovery,2021,Defense Against Advanced Persistent Threat Through Data Backup and Recovery,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2020.3040247,1,yes,unknown,A_core_voice,high,2.645,yes,yes,13,940e3e67c9a15778dfd782a524f97195988d0ba31b8ddc6102b0a6bb7dd6b7e2,Defense_Against_Advanced_Persistent_Threat_Through_Data_Backup_and_Recovery (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,192,7,27.4,55,introduction > problem_formulation > method_algorithm > theory > experiments > related_work > conclusion,motivation;contributions;novelty;paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,differential_game;game_theory;stability_threshold,comparative_experiments,corpus/attachment_paper_cards/2021-defense-advanced-persistent-threat-data-backup-recovery.md
2021-developing-cost-effective-rumor-refuting-strategy-game-theoretic,2021,Developing Cost-Effective Rumor-Refuting Strategy Through Game-Theoretic Approach,IEEE Systems Journal,10.1109/JSYST.2020.3020078,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.517,yes,no,12,272fa2ab79f6f4e6ab241829d950adb2370cf3e9b54177ea7d6ce88bfffa8ab7,Developing_Cost-Effective_Rumor-Refuting_Strategy_Through_Game-Theoretic_Approach.pdf,attachment_fulltext_analyzed,owner_provided_attachment,179,10,17.9,28,introduction > problem_formulation > related_work > model > experiments > method_algorithm > discussion_limits > conclusion,problem_statement;contributions;related_work,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,epidemic_or_spreading_model;differential_game;game_theory;stability_threshold,comparative_experiments;sensitivity,corpus/attachment_paper_cards/2021-developing-cost-effective-rumor-refuting-strategy-game-theoretic.md
2021-effective-quarantine-recovery-scheme-advanced-persistent-threat,2021,Effective Quarantine and Recovery Scheme Against Advanced Persistent Threat,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2019.2956860,1,no_or_not_identified,unknown,A_core_voice,high,1.984,yes,yes,15,f644cfa21b1aa4d44c2ad42fb6a0a60ff12cf7b78795b7d179c116927c239976,Effective_Quarantine_and_Recovery_Scheme_Against_Advanced_Persistent_Threat (5).pdf,attachment_fulltext_analyzed,owner_provided_attachment,207,10,20.7,33,introduction > problem_formulation > related_work > model > theory > experiments > discussion_limits > conclusion,problem_statement;contributions;paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,epidemic_or_spreading_model;optimal_control,comparative_experiments;sensitivity,corpus/attachment_paper_cards/2021-effective-quarantine-recovery-scheme-advanced-persistent-threat.md
2022-effective-multiplatform-advertising-policy,2022,Effective Multiplatform Advertising Policy,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2021.3096008,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.595,yes,yes,11,72f79597784d31ae2e0cd09701cedfc7d2827c6bf97e840d2f1003d1d9b1d80b,Effective_Multiplatform_Advertising_Policy (2).pdf,attachment_fulltext_analyzed,owner_provided_attachment,209,11,19.0,41,introduction > problem_formulation > related_work > theory > experiments > discussion_limits > conclusion,problem_statement;contributions;paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,optimal_control,comparative_experiments;sensitivity,corpus/attachment_paper_cards/2022-effective-multiplatform-advertising-policy.md
2023-impulsive-artificial-defense-advanced-persistent-threat,2023,Impulsive Artificial Defense Against Advanced Persistent Threat,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2023.3284564,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.595,yes,yes,11,d010c19bcd410227c94deff41fc864a38585194ae0ddd6c4825e936742dd28d6,Impulsive_Artificial_Defense_Against_Advanced_Persistent_Threat (3).pdf,attachment_fulltext_analyzed,owner_provided_licensed_publisher_copy,236,11,21.5,43,introduction > related_work > problem_formulation > theory > method_algorithm > experiments > discussion_limits > conclusion,motivation;contributions;novelty;paper_organization;related_work;limitations_future,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,epidemic_or_spreading_model;impulse_control;optimal_control,real_network_topology;numerical_experiments;comparative_experiments;convergence;sensitivity;simulation,corpus/attachment_paper_cards/2023-impulsive-artificial-defense-advanced-persistent-threat.md
2024-cost-effective-company-response-policy-product-co-creation,2024,Cost-Effective Company Response Policy for Product Co-Creation in Company-Sponsored Online Community,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2024.3379408,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.776,yes,yes,13,5ec5d43fd519085b9f0aaf5230d1a5dc6eacf51845e75e3b28d2eb0a9c4e1583,Cost-Effective_Company_Response_Policy_for_Product_Co-Creation_in_Company-Sponsored_Online_Community (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,207,11,18.8,29,problem_formulation > introduction > related_work > theory > method_algorithm > experiments > discussion_limits > conclusion,problem_statement;contributions;related_work,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,optimal_control,sensitivity,corpus/attachment_paper_cards/2024-cost-effective-company-response-policy-product-co-creation.md
2024-cost-effective-hybrid-control-strategies-dynamical-propaganda-war,2024,Cost-Effective Hybrid Control Strategies for Dynamical Propaganda War Game,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2024.3468903,2,yes,unknown,A_core_voice,high,3.450,yes,yes,14,e0e1d2a1506f06deb012a8e602fe905c368e62efc5b3c3ff525ef73917d52cf7,Cost-Effective_Hybrid_Control_Strategies_for_Dynamical_Propaganda_War_Game (6).pdf,attachment_fulltext_analyzed,owner_provided_attachment,253,9,28.1,55,introduction > related_work > problem_formulation > theory > method_algorithm > experiments > conclusion,problem_statement;related_work;limitations_future,context_stakes > gap_limitation > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,differential_game;hybrid_control;game_theory;stability_threshold,scalability,corpus/attachment_paper_cards/2024-cost-effective-hybrid-control-strategies-dynamical-propaganda-war.md
2024-game-theoretic-modeling-analysis-cyberbullying-spreading-osns,2024,Game-theoretic modeling and analysis of cyberbullying spreading on OSNs,Information Sciences,10.1016/j.ins.2023.120067,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.675,no,no,20,092663c1ae74893d1eff23b6999261e016baeb7a86bdcb6aaaf649bd580de806,1-s2.0-S0020025523016535-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,203,9,22.6,27,introduction > related_work > problem_formulation > theory > method_algorithm > experiments > conclusion,problem_statement;contributions;paper_organization;related_work;limitations_future,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,epidemic_or_spreading_model;differential_game;game_theory;stability_threshold,real_network_topology;convergence,corpus/attachment_paper_cards/2024-game-theoretic-modeling-analysis-cyberbullying-spreading-osns.md
2024-impact-cybersecurity-awareness-mobile-malware-propagation-dynamical-model,2024,Impact of cybersecurity awareness on mobile malware propagation: A dynamical model,Computer Communications,10.1016/j.comcom.2024.03.017,6,no_or_not_identified,nonwriting_contribution,C_research_architecture_only,low,0.600,no,no,11,989d688407bf9d2c9e3cf796ffed49beae14cbdb948934483e60aafa261cacf8,1-s2.0-S0140366424001099-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,201,10,20.1,33,introduction > related_work > theory > conclusion,contributions;related_work,context_stakes > gap_limitation > model_framework > evaluation > result_claim,epidemic_or_spreading_model,,corpus/attachment_paper_cards/2024-impact-cybersecurity-awareness-mobile-malware-propagation-dynamical-model.md
2024-malware-containment-immediate-response-iot-networks-optimal-control,2024,Malware containment with immediate response in IoT networks: An optimal control approach,Computer Communications,10.1016/j.comcom.2024.107951,2,yes,original_draft,A_core_voice,high,3.000,no,no,20,87d82da1fe7820b453e24d60b5f42fd9b1a4594006dd6fb67e31d12677361b86,1-s2.0-S0140366424002986-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,247,11,22.5,63,introduction > related_work > problem_formulation > model > method_algorithm > theory > experiments > discussion_limits > conclusion,motivation;problem_statement;contributions;novelty;related_work;limitations_future,context_stakes > gap_limitation > model_framework > decision_problem > evaluation > result_claim > implication,optimal_control,,corpus/attachment_paper_cards/2024-malware-containment-immediate-response-iot-networks-optimal-control.md
2024-minimizing-malware-propagation-internet-things-networks-optimal-control,2024,Minimizing Malware Propagation in Internet of Things Networks: An Optimal Control Using Feedback Loop Approach,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2024.3463965,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.776,yes,yes,16,e928b12b3d81cf957eb10e4e46276426d7be95691fab5c10c34811a0d79cfd82,Minimizing_Malware_Propagation_in_Internet_of_Things_Networks_An_Optimal_Control_Using_Feedback_Loop_Approach (5).pdf,attachment_fulltext_analyzed,owner_provided_attachment,302,14,21.6,42,introduction > problem_formulation > related_work > model > method_algorithm > experiments > conclusion,motivation;problem_statement;contributions;related_work;limitations_future,context_stakes > gap_limitation > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,optimal_control;stability_threshold;reinforcement_learning;model_predictive_control,simulation;scalability,corpus/attachment_paper_cards/2024-minimizing-malware-propagation-internet-things-networks-optimal-control.md
2024-mitigating-impact-false-message-sequential-release-clarifying-messages,2024,Mitigating the Impact of a False Message Through Sequential Release of Clarifying Messages,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2023.3331333,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.776,yes,yes,14,faaf0b042f67d50b753b14da081421ce4579bdffb96f8c79c9da5b6dd71b1bd1,Mitigating_the_Impact_of_a_False_Message_Through_Sequential_Release_of_Clarifying_Messages (3).pdf,attachment_fulltext_analyzed,owner_provided_attachment,201,8,25.1,76,introduction > related_work > method_algorithm > experiments > conclusion,motivation;contributions;novelty;related_work;limitations_future,context_stakes > model_framework > decision_problem > algorithm_solver > evaluation > result_claim > implication,epidemic_or_spreading_model;impulse_control,,corpus/attachment_paper_cards/2024-mitigating-impact-false-message-sequential-release-clarifying-messages.md
2024-modeling-study-defense-outsourcing-advanced-persistent-threat-impulsive,2024,Modeling and study of defense outsourcing against advanced persistent threat through impulsive differential game approach,Computers & Security,10.1016/j.cose.2024.104003,3,no_or_not_identified,review_editing,B_editorial_influence,moderate,1.200,no,no,11,7e507ec2996c7371d773dc32744a9c82d9b9cd231f2855d4dec470ed14bb38b2,1-s2.0-S0167404824003080-main (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,250,15,16.7,31,introduction > related_work > problem_formulation > theory > method_algorithm > experiments > discussion_limits > conclusion,motivation;contributions;novelty;related_work,context_stakes > gap_limitation > model_framework > decision_problem > theory_conditions > algorithm_solver > result_claim > implication,differential_game;impulse_control;game_theory;stability_threshold,,corpus/attachment_paper_cards/2024-modeling-study-defense-outsourcing-advanced-persistent-threat-impulsive.md
2024-simulating-bluetooth-virus-propagation-real-map-infectious-attenuation,2024,Simulating Bluetooth virus propagation on the real map via infectious attenuation algorithm and discrete dynamical system,Iran Journal of Computer Science,10.1007/s42044-024-00198-5,5,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.675,no,no,22,03090cee04ecc543a88e68ccd79264e27593180191a5fb527398e5ef75767eb8,s42044-024-00198-5 (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,268,14,19.1,30,introduction > related_work > method_algorithm > experiments > theory,motivation;contributions;paper_organization;related_work;limitations_future,context_stakes > gap_limitation > model_framework > algorithm_solver > evaluation > implication,agent_or_discrete_simulation,comparative_experiments;simulation;real_network_topology;synthetic_networks,corpus/attachment_paper_cards/2024-simulating-bluetooth-virus-propagation-real-map-infectious-attenuation.md
2024-evolution-flip-it-game-cybersecurity-insights-from-past,2024,The evolution of the flip-it game in cybersecurity: Insights from the past to the future,Journal of King Saud University - Computer and Information Sciences,10.1016/j.jksuci.2024.102195,2,no_or_not_identified,review_editing,B_editorial_influence,moderate,1.200,no,no,22,3cc68fcc43157bbd5d0441d3a6ef2826029794b8b6f734eac62c14163ccf3700,1-s2.0-S1319157824002842-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,241,11,21.9,31,introduction > conclusion,contributions;paper_organization;limitations_future,context_stakes > gap_limitation > model_framework > decision_problem > theory_conditions > evaluation > implication,game_theory,simulation,corpus/attachment_paper_cards/2024-evolution-flip-it-game-cybersecurity-insights-from-past.md
2025-innovative-practical-roadmap-optimal-control-strategies-malware-propagation,2025,An innovative practical roadmap for optimal control strategies in malware propagation through the integration of RL with MPC,Computers & Security,10.1016/j.cose.2024.104186,2,no_or_not_identified,review_editing,B_editorial_influence,moderate,1.200,no,no,24,cdc35a5dd89ed869372cf6aa96a9326a997f4b99af4c2738894bdc10d12f66f9,1-s2.0-S0167404824004917-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,162,6,27.0,40,introduction > related_work > model > problem_formulation > method_algorithm > experiments > conclusion,problem_statement;contributions;novelty;paper_organization;related_work;limitations_future,context_stakes > gap_limitation > model_framework > decision_problem > evaluation > implication,optimal_control;reinforcement_learning;model_predictive_control,,corpus/attachment_paper_cards/2025-innovative-practical-roadmap-optimal-control-strategies-malware-propagation.md
2025-impulse-strategies-suppressing-cyber-propaganda-awareness,2025,Impulse Strategies for Suppressing Cyber Propaganda With Awareness,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2024.3522889,2,yes,unknown,A_core_voice,high,3.450,yes,yes,11,2774fd673b3fcb46ffa10031e84ba0edc8a2ef0e0a92efaf01aeff462d2dc43a,Impulse_Strategies_for_Suppressing_Cyber_Propaganda_With_Awareness (4).pdf,attachment_fulltext_analyzed,owner_provided_attachment,237,10,23.7,48,introduction > related_work > problem_formulation > method_algorithm > theory > experiments > discussion_limits > conclusion,problem_statement;contributions;related_work,context_stakes > gap_limitation > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim,epidemic_or_spreading_model;impulse_control,,corpus/attachment_paper_cards/2025-impulse-strategies-suppressing-cyber-propaganda-awareness.md
2025-mitigating-social-engineering-attacks-cost-effective-security-awareness,2025,Mitigating Social Engineering Attacks Through Cost-Effective Security Awareness Training Policy,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2025.3556927,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.776,yes,yes,14,bde298d34f4a87e55d214a69189e7b246d7d95214ddf95fecc716cb0289f20d2,Mitigating_Social_Engineering_Attacks_Through_Cost-Effective_Security_Awareness_Training_Policy (2).pdf,attachment_fulltext_analyzed,owner_provided_attachment,192,12,15.8,26,introduction > experiments > related_work > problem_formulation > method_algorithm > theory > conclusion,motivation;contributions;novelty;related_work,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,optimal_control,,corpus/attachment_paper_cards/2025-mitigating-social-engineering-attacks-cost-effective-security-awareness.md
